""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"TAOK3",9.983062401,9.956912471,9.750333955,10.00190751,10.21393979,9.209763724,9.787096548,9.742260482,9.833885651,9.962577414,9.849804773,10.33015966,9.971184363,9.940479066,10.18670868,10.04361612
"KLRF1",8.473386958,8.22233757,8.011729633,7.757349602,7.979192172,6.461175962,6.458915036,6.614183377,7.459874009,7.697043293,8.469283865,8.106646985,8.571876163,8.298308846,8.395176211,8.091473
"PDCD2",6.271574037,6.456580146,6.032226957,6.45509657,6.789763969,6.73780677,5.857620831,6.358458062,6.611219117,7.051206127,6.522164705,6.33599978,6.996193355,6.658188584,6.730656547,6.911983978
"KRT76",4.687217574,4.915917747,4.705453464,4.81185968,4.948280249,4.553103314,4.789566057,4.870730018,4.88391867,4.657129842,5.046873689,5.010512006,5.106297132,4.652865877,4.823568488,4.583256569
"ZNF117",3.951929106,3.485506768,3.961318955,3.763821742,3.916155889,3.746359092,3.85339298,3.782467549,3.373694655,3.540445654,4.072021179,3.548953393,3.662962337,3.476527612,3.563218843,3.670956238
"MBTPS2",4.98607811,5.120663368,4.99470368,5.2779969,5.068349316,5.379115299,4.940058877,4.982630326,4.991185684,4.865504084,5.07347356,5.208602742,4.823288858,4.87390204,5.059526065,4.901001522
"HOOK1",4.877948756,5.132510045,4.527440989,4.756522163,4.67100832,4.362714966,4.702231566,4.661997148,4.492909508,5.010324072,4.754552144,4.173734129,5.09063291,4.618628875,4.511097952,4.351864488
"CDC40",5.266807689,5.591302416,5.357449984,5.706009377,5.214700202,5.033812054,5.668758777,5.68554928,5.448607445,5.282949991,5.926072157,4.967501611,5.063651253,5.237653175,5.032535876,4.99716528
"CHST15",12.00381497,11.90845929,11.803202,11.79432334,11.80405815,11.2859963,11.8528932,11.84517108,11.90286644,11.73980609,11.55011306,12.03220725,11.56685854,11.57177297,11.67184567,11.31827614
"ZMYND10",5.4218394,5.369451166,5.639067735,5.260109689,5.43309355,5.232263997,5.336064965,5.353262522,5.343051066,5.352981431,5.397601483,5.385792677,5.382343086,5.359440784,5.510270741,5.398386357
