""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"MN1",3.979648095,4.228051699,3.855930066,3.952214029,3.773108814,3.704956457,3.86919802,3.701826192,3.969629334,3.699685326,3.998515889,3.72952159,3.738942505,3.896980499,3.839180156,3.959872677
"MNAT1",5.018797405,5.479925459,5.404354906,5.654166998,5.46670408,5.827326885,5.440876092,4.817986333,5.274649502,5.380769626,5.231105356,5.466485234,5.585680893,5.163497865,5.578687262,5.515352221
"MNDA",13.46837859,13.29163017,13.2572139,13.04950768,13.45634303,13.49426605,13.13344179,13.34227428,13.21364503,12.94735265,13.45607204,13.08413523,13.22623508,13.48069513,13.3083932,13.09747182
"MNT",9.768928162,9.954305904,9.695788195,9.344928805,9.422885155,9.198380708,9.317684522,9.765496375,9.176933897,9.297371049,9.454227416,9.501813161,9.269864312,9.490903207,9.231167882,9.492001618
"MOBP",4.534008593,4.503615773,4.589271341,4.375393227,4.518351144,4.274658062,4.376020184,4.617011414,4.297920938,4.428041216,4.308486429,4.535466442,4.42223366,4.39684492,4.424565596,4.45863595
"MOCS1",5.345477668,4.729245058,4.823684493,4.810327548,4.997146344,4.94773186,4.664804193,4.955053099,4.912420357,4.844739159,4.751731578,4.913417725,5.049886837,4.96039109,4.7891683,4.841208186
"MOCS2",5.240738939,5.311354393,5.81861954,6.110662243,5.150943986,6.486181595,6.105680359,5.235961139,6.17233377,6.073280738,5.483400097,5.845096589,6.490485388,5.437133572,6.3321475,6.19456068
"ASGR2",8.630429626,8.702328989,8.351187597,8.326798183,8.380551956,7.772399592,8.376681746,8.858774067,8.151874205,8.466699738,8.566584835,8.554071822,8.284361142,8.382448334,8.381689389,8.37775347
"MOG",3.812409181,3.866371853,3.854594537,3.862101872,3.855009401,3.811617657,3.740677944,3.903375483,3.685355808,3.744643206,3.72851527,3.789085256,3.771909545,3.814225417,3.679615911,3.775881235
"MOS",4.237071094,4.215508739,4.326712132,4.248843442,4.543624822,4.167377834,4.095110616,4.272979685,4.088457546,4.127398799,4.313336671,4.088362234,4.323290678,4.268691889,4.323196877,4.351251157
"CD200",5.859212202,6.288330901,6.494810041,6.484643003,6.443626507,6.897192188,6.75546566,6.551402894,7.05094525,6.606750386,6.883998952,6.882201408,6.740679358,6.855999118,6.638145368,6.419177025
"ASIP",5.303041206,4.937922961,4.962516418,5.02691734,5.292642595,5.08942294,5.056747964,5.235069872,5.112520944,5.125369675,5.058079247,5.255126742,5.338732716,5.28745758,5.182904855,5.094264089
"MPG",8.330028303,8.48246748,8.625105112,8.699075821,8.624770018,8.625074605,8.479993179,8.652091679,8.730780639,8.42642924,8.645476707,8.458293594,8.640221496,8.426012403,8.417991264,8.397667443
"MPI",6.556349043,7.175217299,6.955769246,6.876134923,7.247617621,6.966015528,7.219393312,7.280106447,7.157789244,7.161983952,7.157616293,7.191579647,7.29423989,7.2152522,6.94843476,6.961733711
"MPL",4.889493762,4.710104847,4.814229601,4.900592837,4.980622843,4.577662174,4.769727912,5.047593421,4.770511029,4.789659394,4.728154797,4.786848045,4.786423421,4.900873993,4.894994401,4.840677361
"MPO",6.142095013,6.638854973,5.986545356,5.838153747,6.771567415,5.452396274,5.865497049,7.291770675,5.671100776,5.650839141,7.348090985,5.611577552,5.590560323,7.405101512,6.007065133,6.268891928
"MPP1",11.32197645,11.59440842,10.90042125,10.65438187,11.82928276,10.80550236,11.03535561,11.96141018,11.64579873,11.6405109,12.01333703,11.89859449,11.43705513,12.28728222,12.05404985,12.0417849
"MPP2",6.173020082,6.036269134,5.834290956,5.904707576,5.977232185,5.663853054,5.933328411,6.217273694,5.866427146,5.88323448,6.032916339,6.15349555,5.884164292,5.962459725,6.00531405,5.984321556
"MPP3",5.201183315,5.242278036,4.964765707,5.112735073,4.917872875,4.906084133,4.899087774,5.192445148,4.97292446,4.980430126,4.959281783,5.014067413,4.794757608,5.082855136,5.002616848,4.871952653
"MPST",8.28823327,8.193712056,8.024785938,7.920970703,8.312996404,7.814408688,7.902605221,8.371746281,7.998802469,7.926040908,8.196030092,8.149335863,7.951022616,8.274041433,7.93521074,8.069876126
"MPV17",8.221211033,8.919834318,8.575958817,8.566749066,8.483110617,8.292091204,8.499380767,8.747766477,8.609318753,8.62662367,8.500654726,8.562214016,8.537802349,8.428389352,8.400131981,8.631614221
"ASL",7.972067478,8.171826879,8.037747429,7.846131546,7.967725188,7.814741718,7.867523396,8.234333535,7.953073278,7.831264105,8.053937653,7.771460168,7.880871715,8.035722057,7.781855503,7.809609412
