"","TCGA-AG-3731-11A-01R-1736-07","TCGA-AF-2691-11A-01R-A32Z-07","TCGA-AG-3732-11A-01R-1660-07","TCGA-AH-6643-11A-01R-1830-07","TCGA-AF-3400-11A-01R-A32Z-07","TCGA-AG-3742-11A-01R-1660-07","TCGA-AG-3725-11A-01R-1736-07","TCGA-AF-2692-11A-01R-A32Z-07","TCGA-AF-5654-11A-11R-1660-07","TCGA-AF-2689-11A-01R-A32Z-07"
"GINS1",8.2028,9.63,6.9722,6.1284,13.7186,9.4603,13.4988,8.4583,12.4326,8.8364
"NINL",3.3456,2.2279,5.1695,4.1724,1.7757,4.0368,1.5501,5.4333,1.3535,2.6451
"CD40",24.9161,16.071,14.9757,21.753,4.8948,21.5867,16.6974,16.9641,6.5377,17.1175
"UQCC1",16.1184,12.1926,18.8252,16.3709,19.9991,16.1852,17.884,18.9281,12.7195,13.3302
"ZMYND8",23.257,17.4794,24.8884,31.3368,29.0294,14.447,10.789,19.6374,27.3931,22.6039
"SGK2",18.2664,19.68,15.5794,32.7695,40.0842,13.8302,18.4168,18.2058,47.1731,25.8695
"IFT52",29.6753,24.699,42.8444,26.3161,24.6032,51.6301,50.0243,28.8304,29.9602,26.9986
"MYBL2",18.59,44.4347,14.4562,44.5569,53.7575,17.9562,22.2559,33.7478,44.4717,55.542
"R3HDML",1.1167,0.2408,1.0364,0.9679,0.8347,0.293,0.3006,0.28,1.5572,0.117
"HNF4A",96.1351,121.8719,76.3853,127.1109,193.9699,62.4649,55.2387,125.0407,182.2528,119.6817
"NDRG3",53.3345,37.8376,74.7851,44.8276,45.9678,62.3739,27.7158,59.0984,46.6924,39.4898
"SLA2",4.2624,4.8502,2.7721,4.1559,2.1227,3.5121,2.5915,4.9699,1.4475,4.2057
"RAB5IF",1.1178,7.9791,0.4862,0.601,2.7775,0.9278,2.4242,2.8154,1.3171,3.3634
"NFATC2",8.8779,16.0209,9.7967,10.7548,4.9197,7.8495,3.5681,17.496,4.9345,9.5438
"PABPC1L",1.5334,0.5993,1.4843,4.117,1.5973,0.614,0.7614,1.6455,2.0869,0.879
"STK4",17.3494,15.5368,20.571,23.2536,13.3919,15.399,9.7635,18.9586,15.0112,16.0983
"SALL4",0.1235,0.0644,0.0792,0.0913,0.0416,0.0269,0.0574,0.0642,0.0412,0.1073
"ADNP",27.604,29.2355,51.4618,31.2612,33.3536,27.9578,16.17,34.7949,24.4292,29.9293
"PFDN4",23.1482,14.623,40.331,22.3869,15.1786,58.6192,41.7593,19.6775,19.6391,21.2634
"CSTF1",16.4533,15.6208,21.0939,14.7106,19.6949,19.7322,15.0477,15.0846,14.3168,15.6267
"BMP7",5.2963,6.5971,5.0383,6.8178,2.3454,3.7868,2.5538,4.3124,4.6594,3.8631
"RAE1",10.5373,14.1926,17.0286,13.4315,17.3355,14.8668,16.3787,14.297,13.6652,12.6622
"TPD52L2",62.2958,66.8328,86.7005,45.4316,55.0526,91.9226,57.4071,71.3986,45.9327,58.6235
"DNAJC5",56.3688,89.8313,66.6053,64.6984,104.9268,45.8774,24.5781,77.8131,89.8125,78.8529
"NELFCD",28.7154,25.4454,29.0438,24.3521,33.5984,25.9595,21.2617,29.8596,21.0489,24.6209
"CTSZ",455.3539,488.2838,391.58,430.0186,474.5157,398.5629,314.9184,454.0743,430.1352,555.6632
"PRPF6",114.8614,126.798,135.845,97.2574,123.9221,97.0863,56.0213,143.0657,98.5605,129.5801
"PRELID3B",127.4565,182.4622,143.8085,152.5427,184.6169,245.5252,220.0913,166.0715,204.6375,121.3584
"MTG2",14.5623,16.0961,16.1276,12.8416,15.7531,14.2125,9.6845,12.4168,12.352,12.6842
"PSMA7",231.5144,262.286,204.8453,176.2831,268.0019,315.2187,418.702,236.5178,204.0662,224.476
"SLCO4A1",4.0847,8.5018,1.6721,5.0395,6.3643,2.0978,3.322,7.6522,6.6909,2.6644
"MRGBP",16.4197,14.1239,17.0736,14.3431,17.4473,21.155,17.1988,16.2517,13.6479,13.0359
"DIDO1",14.2288,19.1803,25.3463,19.741,18.504,14.7596,7.5308,27.6857,16.2975,18.8474
"GID8",50.3226,60.8902,55.2778,46.1581,68.7408,57.6602,40.2733,55.0717,52.9694,53.686
"BIRC7",0.6245,0.4111,0.7077,0.1458,0.031,2.7007,0.4277,0.2049,0,0.4995
"ARFGAP1",23.0287,28.7028,23.3166,23.7269,30.0149,22.1306,15.2036,29.1949,25.4258,25.1143
"PTK6",64.2273,54.4124,50.9537,89.7925,124.0945,50.3247,50.8905,56.6569,149.1927,69.1511
