"from_symbol","to_symbol","combined_score"
"CD74","RPL23",0.981
"CD74","RPL7L1",0.932
"CD74","RPS19",0.985
"CD74","POLR1A",0.802
"CD74","MRPS16",0.97
"CD74","RPP38",0.715
"CD74","RACK1",0.976
"CD74","RPL15",0.977
"CD74","MRPL49",0.769
"CD74","RPL35",0.98
"CD74","RPSA",0.981
"CD74","RPS12",0.979
"CD74","RPL19",0.978
"CD74","RPS16",0.981
"CD74","WDR31",0.888
"CD74","RPL5",0.982
"CD74","RPL34",0.979
"CD74","RSL1D1",0.771
"CD74","RPS18",0.982
"CD74","SIL1",0.774
"CD74","BYSL",0.837
"CD74","RPL10",0.93
"CD74","NGDN",0.79
"CD74","ATP5F1C",0.839
"CD74","MRPL3",0.836
"CD74","HABP4",0.716
"CD74","WDR46",0.775
"CD74","POLR2F",0.85
"CD74","SERBP1",0.832
"CD74","KRR1",0.844
"CD74","MRRF",0.894
"CD74","RPL12",0.977
"CD74","CTSB",0.954
"CD74","EFTUD2",0.806
"CD74","SNU13",0.872
"CD74","RPLP2",0.935
"CD74","POLR3B",0.778
"CD74","RPS15A",0.853
"CD74","RCL1",0.781
"CD74","PPP1R26",0.773
"CD74","RRP7A",0.778
"CD74","CCL5",0.713
"CD74","IFI35",0.94
"CD74","MRPS5",0.888
"CD74","RPS9",0.982
"CD74","HMGN4",0.817
"CD74","ATP5F1A",0.865
"CD74","MRPS35",0.827
"CD74","ARL6IP1",0.853
"CD74","RPL38",0.981
"CD74","EIF1",0.838
"CD74","RPL39",0.931
"CD74","RPL13A",0.943
"CD74","EPRS1",0.845
"CD74","APP",0.985
"CD74","MRPL1",0.834
"CD74","RPS23",0.979
"CD74","UTP3",0.785
"CD74","RSRC1",0.927
"CD74","MRPL20",0.959
"CD74","RRP9",0.79
"CD74","DAP3",0.793
"CD74","HLA-DMB",0.982
"CD74","MRPL41",0.817
"CD74","FAU",0.997
"CD74","PDCD11",0.967
"CD74","BMS1",0.834
"CD74","RPL36A",0.839
"CD74","RPL22",0.905
"CD74","MRPL40",0.792
"CD74","RPL29",0.979
"CD74","EIF3K",0.717
"CD74","RPL27",0.979
"CD74","GCN1",0.787
"CD74","POLR1B",0.78
"CD74","TPT1",0.851
"CD74","RPLP0",0.983
"CD74","DNTTIP2",0.781
"CD74","RPL32",0.979
"CD74","MRPL22",0.836
"CD74","HDDC3",0.769
"CD74","EFL1",0.806
"CD74","EIF1AY",0.942
"CD74","TBL3",0.781
"CD74","MTIF2",0.842
"CD74","WDR36",0.778
"CD74","RPS27A",0.974
"CD74","UTP20",0.792
"CD74","HLA-DOB",0.975
"CD74","MRPL16",0.776
"CD74","EIF5A",0.766
"CD74","RPS3A",0.98
"CD74","HLA-DRB5",0.986
"CD74","SMKR1",0.773
"CD74","CTSL",0.993
"CD74","RPS13",0.98
"CD74","CUL7",0.879
"CD74","MRPL24",0.836
"CD74","UTP11",0.766
"CD74","HLA-E",0.764
"CD74","MRPS2",0.773
"CD74","RPS3",0.983
"CD74","B2M",0.808
"CD74","HLA-DPA1",0.993
"CD74","POLR3A",0.808
"CD74","EARS2",0.705
"CD74","RPS4Y1",0.864
"CD74","RIOK2",0.768
"CD74","EIF3C",0.717
"CD74","HLA-B",0.8
"CD74","HLA-C",0.815
"CD74","MRNIP",0.909
"CD74","RPS11",0.981
"CD74","COPG1",0.719
"CD74","COPG2",0.838
"CD74","HSPBP1",0.774
"CD74","MRPL34",0.772
"CD74","AK6",0.801
"CD74","RPL28",0.977
"CD74","RPS27",0.937
"CD74","DOCK4",0.909
"CD74","EIF2S2",0.8
"CD74","EIF5B",0.908
"CD74","LTV1",0.795
"CD74","MPHOSPH10",0.829
"CD74","MRPL9",0.968
"CD74","RPL3",0.937
"CD74","WDR43",0.799
"CD74","CIITA",0.833
"CD74","NOL6",0.792
"CD74","RPL31",0.978
"CD74","RPL37",0.975
"CD74","MRPL27",0.951
"CD74","NOL10",0.781
"CD74","ABCE1",0.761
"CD74","RPL35A",0.975
"CD74","MRPS10",0.888
"CD74","MRPL58",0.816
"CD74","MRPL19",0.969
"CD74","RPS26",0.98
"CD74","HLA-A",0.807
"CD74","MRPL43",0.772
"CD74","RPL18A",0.973
"CD74","FCF1",0.789
"CD74","EIF1AX",0.934
"CD74","GFM1",0.806
"CD74","NOP14",0.785
"CD74","EMG1",0.788
"CD74","EEF2",0.945
"CD74","EIF5AL1",0.765
"CD74","UTP18",0.796
"CD74","HLA-DRA",0.999
"CD74","EIF3D",0.701
"CD74","AATF",0.834
"CD74","WDR3",0.824
"CD74","HMGN2",0.817
"CD74","IMP4",0.771
"CD74","RPL21",0.979
"CD74","NAT10",0.794
"CD74","RPL39L",0.931
"CD74","RPL14",0.981
"CD74","EIF2S1",0.868
"CD74","MRPL46",0.821
"CD74","MRPL47",0.767
"CD74","SEC61A2",0.853
"CD74","MRPS14",0.835
"CD74","RPL36AL",0.838
"CD74","FANCE",0.931
"CD74","MRPS7",0.845
"CD74","MRPS15",0.827
"CD74","RPS29",0.98
"CD74","HMGN1",0.817
"SYPL1","VAMP2",0.821
"RANBP9","WDR26",0.996
"RANBP9","GID4",0.99
"RANBP9","MPHOSPH8",0.943
"RANBP9","GID8",0.995
"RANBP9","RMND5B",0.794
"RANBP9","YPEL5",0.949
"RANBP9","DDX5",0.709
"RANBP9","AXL",0.875
"RANBP9","MAEA",0.952
"RANBP9","RANBP10",0.997
"RANBP9","RMND5A",0.997
"RANBP9","ARMC8",0.993
"RANBP9","SOS1",0.817
"RANBP9","MET",0.716
"RANBP9","MKLN1",0.998
"RANBP9","L1CAM",0.962
"CD4","FAS",0.84
"CD4","LCK",0.999
"CD4","IL21R",0.781
"CD4","HLA-DMB",0.941
"CD4","STAT4",0.832
"CD4","IFNGR1",0.739
"CD4","PDCD1LG2",0.945
"CD4","SKP1",0.95
"CD4","CLEC7A",0.779
"CD4","IL1R1",0.743
"CD4","SIRPA",0.724
"CD4","LCP2",0.891
"CD4","SELE",0.756
"CD4","AKT1",0.839
"CD4","FCGR2B",0.842
"CD4","ENPEP",0.994
"CD4","PTPN11",0.783
"CD4","HLA-DRB5",0.945
"CD4","CD2",0.996
"CD4","TFRC",0.88
"CD4","TNFSF11",0.726
"CD4","HLA-DOB",0.938
