"","TCGA-AH-6544-01A-11R-1830-07","TCGA-AH-6547-01A-11R-1830-07","TCGA-AH-6549-01A-11R-1830-07","TCGA-AH-6644-01A-21R-1830-07","TCGA-CL-4957-01A-01R-1736-07","TCGA-EI-6510-01A-11R-1736-07","TCGA-EI-7004-01A-11R-1928-07","TCGA-G5-6233-01A-11R-1736-07","TCGA-G5-6572-01A-11R-1830-07","TCGA-AF-2691-01A-01R-0821-07","TCGA-AF-2693-01A-02R-1736-07","TCGA-AF-5654-01A-01R-1660-07","TCGA-AG-3580-01A-01R-0821-07","TCGA-AG-3581-01A-01R-0821-07","TCGA-AG-3587-01A-01R-0821-07","TCGA-AG-3599-01A-02R-0826-07","TCGA-AG-3726-01A-02R-0905-07","TCGA-AG-3732-01A-11R-1660-07","TCGA-AG-3742-01A-11R-1660-07","TCGA-AG-3878-01A-02R-0905-07","TCGA-AG-3882-01A-01R-0905-07","TCGA-AG-3883-01A-02R-0905-07","TCGA-AG-3890-01A-01R-1119-07","TCGA-AG-3892-01A-01R-1119-07","TCGA-AG-3896-01A-01R-1119-07","TCGA-AG-A002-01A-01R-A002-07","TCGA-AG-A008-01A-01R-A002-07","TCGA-AG-A014-01A-02R-A002-07","TCGA-AG-A015-01A-01R-A002-07","TCGA-AG-A025-01A-01R-A00A-07","TCGA-AG-A02X-01A-01R-A00A-07","TCGA-AH-6897-01A-11R-1928-07","TCGA-CI-6623-01B-11R-1830-07","TCGA-CI-6624-01C-11R-1830-07","TCGA-DC-4749-01A-01R-1736-07","TCGA-DC-5337-01A-01R-1660-07","TCGA-DC-6157-01A-11R-1660-07","TCGA-DC-6158-01A-11R-1660-07","TCGA-DC-6160-01A-11R-1660-07","TCGA-AG-3574-01A-01R-0821-07","TCGA-AG-3575-01A-01R-0821-07","TCGA-AG-4022-01A-01R-1736-07","TCGA-AG-A01W-01A-21R-A083-07","TCGA-AG-A01Y-01A-41R-A083-07","TCGA-AG-A026-01A-01R-A00A-07","TCGA-AG-A02N-01A-11R-A083-07","TCGA-DT-5265-01A-21R-1830-07","TCGA-AF-2692-01A-01R-0821-07","TCGA-AF-3400-01A-01R-0821-07","TCGA-AF-A56K-01A-32R-A39D-07","TCGA-AF-A56N-01A-12R-A39D-07","TCGA-AG-3578-01A-01R-0821-07","TCGA-AG-3591-01A-01R-1736-07","TCGA-AG-3592-01A-02R-1736-07","TCGA-AG-3593-01A-01R-0821-07","TCGA-AG-3594-01A-02R-0821-07","TCGA-AG-3598-01A-01R-0826-07","TCGA-AG-3608-01A-01R-0826-07","TCGA-AG-3611-01A-01R-0826-07","TCGA-AG-3881-01A-01R-0905-07","TCGA-AG-3887-01A-01R-1119-07","TCGA-AG-3894-01A-01R-1119-07","TCGA-AG-3898-01A-01R-1119-07","TCGA-AG-3902-01A-01R-A32Z-07","TCGA-AG-4001-01A-02R-1119-07","TCGA-AG-4008-01A-01R-1119-07","TCGA-AG-4015-01A-01R-1119-07","TCGA-AG-A00H-01A-01R-A00A-07","TCGA-AG-A00Y-01A-02R-A002-07","TCGA-AG-A011-01A-01R-A002-07","TCGA-AG-A01J-01A-01R-A00A-07","TCGA-CL-5918-01A-11R-1660-07","TCGA-DC-6682-01A-11R-1830-07","TCGA-DY-A0XA-01A-11R-A155-07","TCGA-DY-A1DC-01A-31R-A155-07","TCGA-DY-A1DE-01A-11R-A155-07","TCGA-EF-5831-01A-01R-1660-07","TCGA-EI-6506-01A-11R-1736-07","TCGA-EI-6507-01A-11R-1736-07","TCGA-EI-6514-01A-11R-1736-07","TCGA-EI-6882-01A-11R-1928-07","TCGA-F5-6465-01A-11R-1736-07","TCGA-F5-6571-01A-12R-1830-07","TCGA-F5-6811-01A-11R-1830-07","TCGA-F5-6812-01A-11R-1830-07","TCGA-F5-6814-01A-31R-1928-07","TCGA-F5-6861-01A-11R-1928-07","TCGA-CI-6622-01A-11R-1830-07","TCGA-EF-5830-01A-01R-1660-07","TCGA-EI-6883-01A-31R-1928-07","TCGA-AG-3586-01A-02R-0821-07","TCGA-AG-3725-01A-11R-1736-07","TCGA-AG-3727-01A-01R-0905-07","TCGA-AG-A020-01A-21R-A083-07","TCGA-AG-A036-01A-12R-A083-07","TCGA-AF-6655-01A-11R-1830-07","TCGA-DC-6155-01A-11R-1660-07","TCGA-DY-A1H8-01A-21R-A155-07","TCGA-EI-6881-01A-11R-A32Z-07","TCGA-EI-6884-01A-11R-1928-07","TCGA-EI-6917-01A-11R-1928-07","TCGA-G5-6641-01A-11R-A32Z-07","TCGA-AF-6136-01A-11R-1830-07","TCGA-AG-3601-01A-01R-0826-07","TCGA-AG-3612-01A-01R-0826-07","TCGA-AG-3728-01A-01R-0905-07","TCGA-AG-3885-01A-01R-0905-07","TCGA-AG-3893-01A-01R-1119-07","TCGA-AG-3901-01A-01R-1119-07","TCGA-AG-3909-01A-01R-1119-07","TCGA-AG-A00C-01A-01R-A002-07","TCGA-AG-A01L-01A-01R-A002-07","TCGA-AG-A032-01A-01R-A00A-07","TCGA-AH-6903-01A-11R-1928-07","TCGA-BM-6198-01A-11R-1736-07","TCGA-CI-6621-01A-11R-1830-07","TCGA-DC-4745-01A-01R-A32Z-07","TCGA-DC-5869-01A-01R-1660-07","TCGA-DC-6683-01A-11R-1830-07","TCGA-DY-A1DD-01A-21R-A155-07","TCGA-EI-6508-01A-11R-1736-07","TCGA-EI-6511-01A-11R-1736-07","TCGA-EI-6512-01A-11R-1736-07","TCGA-EI-6513-01A-21R-1736-07","TCGA-F5-6863-01A-11R-1928-07","TCGA-F5-6864-01A-11R-1928-07","TCGA-G5-6235-01A-11R-1736-07","TCGA-AF-2687-01A-02R-1736-07","TCGA-AF-2690-01A-02R-1736-07","TCGA-AF-3911-01A-01R-1736-07","TCGA-AF-A56L-01A-31R-A39D-07","TCGA-AG-3600-01A-01R-0826-07","TCGA-AG-3602-01A-02R-0826-07","TCGA-AG-3609-01A-02R-0826-07","TCGA-AG-3999-01A-01R-1119-07","TCGA-AH-6643-01A-11R-1830-07","TCGA-CL-5917-01A-11R-1660-07","TCGA-DY-A1DF-01A-11R-A155-07","TCGA-EI-6509-01A-11R-1736-07","TCGA-F5-6464-01A-11R-1736-07","TCGA-F5-6813-01A-11R-1830-07","TCGA-AF-3913-01A-02R-1119-07","TCGA-AF-6672-01A-11R-1830-07","TCGA-AG-3582-01A-01R-0821-07","TCGA-AG-3583-01A-01R-0821-07","TCGA-AG-3584-01A-01R-0821-07","TCGA-AG-3605-01A-01R-0826-07","TCGA-AG-3731-01A-11R-1736-07","TCGA-AG-4005-01A-01R-1119-07","TCGA-AG-4007-01A-01R-1119-07","TCGA-AG-4021-01A-01R-1736-07","TCGA-AG-A016-01A-01R-A002-07","TCGA-AG-A01N-01A-01R-A00A-07","TCGA-AG-A023-01A-01R-A00A-07","TCGA-AG-A02G-01A-01R-A00A-07","TCGA-CI-6619-01B-11R-1830-07","TCGA-EI-6885-01A-11R-1928-07","TCGA-EI-7002-01A-11R-1928-07","TCGA-AF-4110-01A-02R-1736-07","TCGA-CI-6620-01A-11R-1830-07","TCGA-DC-6154-01A-31R-1928-07","TCGA-DC-6156-01A-11R-1660-07","TCGA-DC-6681-01A-11R-A32Z-07","TCGA-DY-A1DG-01A-11R-A32Y-07","TCGA-F5-6702-01A-11R-1830-07"
"PARK7",244.7978,118.3539,401.119,183.2677,317.4048,181.2267,221.3547,236.8956,142.7597,208.2584,169.0759,259.6665,243.4077,243.6912,263.6173,279.9293,147.7127,144.5288,308.2839,126.5875,98.4937,157.4051,133.0263,247.4252,206.9099,272.4947,164.0723,199.1116,210.1782,217.0093,248.9815,338.603,316.7729,165.5841,277.5192,225.106,252.0605,295.1596,163.5518,193.1031,402.5734,241.8748,237.9866,121.5974,129.7694,179.3805,261.2899,199.7733,312.2891,163.2689,313.993,183.1411,275.5061,300.7113,210.2565,222.8319,405.5878,288.4944,262.4359,118.4849,153.901,235.0718,225.1643,214.887,188.2722,284.614,142.7779,187.2267,139.9905,219.8837,146.4272,270.4048,354.8399,139.9252,255.1299,234.1798,160.4008,173.6629,211.5861,174.7804,178.9964,192.5977,156.7037,214.3867,194.7457,385.9363,296.5574,148.9511,252.026,270.7164,248.7194,196.798,75.5596,305.5019,225.2691,265.6815,311.691,163.0895,277.9788,281.7661,331.0109,113.206,207.3281,331.9942,243.6762,112.5664,164.369,181.8184,183.6085,141.3917,264.9566,185.9601,123.7893,225.3393,146.6979,215.1683,371.4823,393.9033,218.051,207.7875,263.7246,157.4168,248.0174,287.7522,394.6389,167.8755,219.326,228.661,178.5539,262.0059,240.9543,202.1763,359.9359,265.9691,137.7406,200.6342,264.6479,164.302,201.2978,199.9763,131.9153,344.016,200.2441,236.0707,132.3417,131.6677,318.7697,233.4484,253.7386,183.1847,309.5481,206.3888,209.1362,120.5996,167.1226,266.3099,254.7982,217.6899,151.8071,386.0465,280.2588,158.5506,171.1734,335.9197,216.6595
"ELAPOR1",17.7055,71.4967,3.8067,36.5965,20.6089,232.7556,132.9866,17.8452,32.5694,60.0947,23.2288,1.113,15.8048,31.7164,6.078,19.5831,35.0704,361.2614,3.0042,71.8799,9.167,5.3795,64.5221,31.2396,49.6117,40.2557,216.0541,3.4561,80.6065,61.3582,204.4054,0.765,22.6976,21.2261,12.2219,4.5811,85.3547,42.1806,25.5739,44.6212,1.883,22.0315,19.4909,15.6024,7.8458,108.9736,1.7539,41.3496,148.6147,24.8669,4.4378,144.2443,134.209,36.8775,20.2441,60.9858,23.5056,18.849,170.8941,26.8074,164.7631,24.1374,6.3777,16.3307,19.9599,30.7039,20.0306,34.9798,20.1564,17.281,10.5835,21.6806,8.3649,41.9031,17.9016,8.2217,6.7976,18.0612,186.8234,24.8604,183.0547,38.1442,8.0464,33.3269,1.8906,32.3523,29.7754,18.0754,40.9388,105.288,29.1021,28.4031,33.0932,103.0087,62.6427,38.5689,2.9917,11.0447,32.2185,35.9363,6.5512,152.6441,37.089,17.2073,24.0411,67.8426,13.7183,29.366,254.4903,27.2995,20.9978,13.1427,7.8301,94.0369,10.3121,19.1531,26.3097,38.6013,8.3978,7.3427,77.3146,35.9376,15.2345,70.9462,13.5871,35.7419,14.9209,0.9225,8.3155,38.3847,9.348,21.7909,2.479,15.5458,6.6885,25.812,48.7605,35.5506,34.9935,4.572,7.5735,22.7271,146.2045,13.3991,76.3974,8.035,36.7799,50.406,13.3017,24.1031,13.8997,52.9853,4.5071,48.6204,98.6676,31.7521,40.5823,26.2001,36.5235,28.0913,12.1628,4.0003,66.1654,8.323,16.2771
"AMPD2",13.0528,12.2922,27.4946,21.9326,16.8642,14.2279,21.9676,21.509,11.6673,17.5599,22.3739,16.0851,18.0423,19.9275,35.0035,16.5427,41.0052,23.0179,25.582,23.1196,24.2145,20.4722,27.4182,11.5607,19.1722,29.6681,24.2537,34.8467,12.916,17.65,35.9963,21.015,14.2596,10.4506,14.0329,10.3958,30.0162,29.0859,11.0125,12.8013,6.299,18.8519,19.8588,20.9166,19.9908,17.1443,20.4742,20.4684,19.9797,24.1435,26.1223,24.5333,20.0659,21.8081,11.5087,13.0106,15.684,18.8131,15.3579,21.2201,25.922,20.9309,21.9837,28.752,31.199,17.2658,34.2134,23.7772,19.2213,16.5673,18.8305,16.9473,10.9394,15.3973,16.2748,17.6745,15.8643,16.5107,24.6481,12.8642,22.6906,19.0716,21.1997,12.2059,7.3545,25.7254,20.1982,17.8253,19.7077,10.671,18.9232,18.3917,66.311,20.7913,24.5116,26.738,15.4552,17.8014,21.6443,29.8198,30.9114,13.1752,20.3687,7.4829,19.4999,23.7518,42.0071,20.5518,17.1827,17.4593,23.5671,23.9518,11.9765,13.5581,12.1055,14.9861,13.3393,14.6037,20.5755,20.3858,26.6123,10.8029,22.8666,27.1901,21.2864,29.3925,13.543,17.9677,11.9842,23.7179,26.3728,17.1986,8.586,17.832,24.5389,15.2318,28.3519,17.3003,16.2219,23.1051,8.6858,22.0891,17.9464,20.9142,12.4406,13.8903,12.8261,19.1778,23.2971,17.73,15.3238,31.8974,26.7383,21.1056,19.664,19.1489,23.248,20.3715,12.1659,24.817,25.3955,30.0647,18.7643,16.2121,20.0563
"SRSF4",34.8187,28.9568,60.429,52.906,56.4049,38.0723,44.3984,45.0162,17.3677,29.2515,27.4913,36.5642,39.0468,33.3996,31.4533,32.4669,19.5807,44.9425,43.5486,20.2879,16.948,10.5671,23.1878,21.4315,28.2581,54.3191,29.8445,35.7354,36.703,37.5318,47.9407,75.9185,38.5232,26.9711,27.9922,32.7318,34.3055,55.8707,31.5457,21.6302,24.1365,41.4055,28.1536,28.4701,23.7436,30.7163,57.9778,37.6032,29.4707,23.8386,52.7002,39.5997,32.6464,49.4672,26.9919,39.8959,28.4823,33.2308,32.3007,14.5318,17.1709,32.5353,28.3834,37.0762,34.9449,37.7092,22.2826,31.26,19.9369,34.3346,23.5359,31.7854,59.3405,23.7604,37.3881,34.9934,33.3455,43.8404,64.038,29.354,42.9318,40.0534,36.4308,30.8522,38.1911,59.3167,54.4063,27.7968,40.2616,34.2455,33.0373,45.9384,13.377,46.5736,39.9555,48.486,8.9211,22.2661,48.6719,41.2276,59.1541,24.7841,34.6484,28.3224,25.6171,22.3932,22.9553,33.6539,27.8349,24.5545,41.2263,37.2448,17.8857,39.4448,26.6852,30.4793,33.9824,39.6613,39.0831,30.0105,62.0199,20.0957,48.4948,42.3813,61.1303,31.0168,35.114,44.6812,25.3215,46.9057,40.9317,26.7782,15.906,28.4711,21.9139,28.3541,41.4645,29.6333,32.0432,38.6035,17.1146,28.9616,47.8074,39.5778,15.8618,16.7477,28.9678,41.5836,37.4857,28.7417,42.4361,41.6993,27.7606,20.7424,31.3101,45.1127,38.6686,38.6015,18.6519,67.2715,50.898,38.0905,31.9309,47.4156,40.7742
"MECR",13.5223,8.6952,18.2152,14.5983,27.9819,17.7763,13.7495,14.5618,9.5182,13.0956,7.373,17.4849,20.9168,17.6012,24.3893,23.3997,15.0276,12.2727,19.6765,12.0971,10.2458,7.9369,10.397,21.841,20.5737,27.8735,13.0708,24.3618,15.8661,18.6128,21.3172,15.9109,21.3465,9.873,11.7982,27.6798,8.6784,23.1263,10.5593,17.6055,32.6609,13.1996,17.4931,9.44,15.3878,15.3653,19.3284,12.5246,10.4299,10.5376,14.2802,11.5516,17.9205,16.8267,19.9583,12.4735,21.718,18.4862,16.7888,11.3207,10.7264,25.8344,20.7543,25.7217,12.6708,24.5989,11.7835,16.8713,14.68,20.19,13.2336,15.43,14.8484,8.1054,15.8221,13.8638,10.1699,11.0318,19.5537,9.8237,14.2594,13.9074,12.2927,11.7931,10.4953,33.6351,28.4958,9.2306,23.5067,33.7926,20.7756,15.5521,10.3833,18.4666,12.622,21.0312,22.1735,8.0453,20.4214,18.4932,23.182,8.6601,13.5127,16.6527,17.3276,11.0562,17.3341,15.5631,12.9296,13.525,14.9125,21.4037,10.4686,18.0736,6.4467,11.9216,21.2678,13.4621,8.2594,17.2063,19.3716,7.8191,14.1696,19.8676,22.6623,11.0701,12.5877,16.4997,11.0378,18.8506,17.2539,19.0865,17.6044,15.1303,22.2912,14.5463,18.0526,9.8979,13.9362,15.7184,6.7902,9.3441,20.8988,18.9365,12.3575,14.2886,17.0658,21.0125,19.8402,16.7654,10.1058,16.9158,17.8238,11.727,14.7262,18.6729,26.8277,17.2941,7.9018,17.9011,16.2509,10.7615,10.2408,18.3488,11.2796
"KCNC4",1.2793,2.5387,3.1798,0.9726,1.2953,2.4102,2.3679,2.633,1.3295,1.6188,2.2569,1.3987,2.5445,1.3308,2.0216,1.064,3.3982,5.2536,1.7381,2.1613,1.5213,2.3845,4.3477,1.0864,1.8275,5.4881,2.9464,0.9528,1.2041,2.035,6.0596,2.3529,1.1719,2.3172,0.5815,1.2086,2.131,1.9614,1.7334,1.5944,0.7366,1.0542,2.2393,4.4348,2.3854,3.7605,2.1483,2.3986,1.4872,2.5985,2.4473,3.0264,3.166,1.8942,1.7874,1.149,1.4765,1.4297,1.7473,1.5652,2.2959,1.0861,2.0901,2.1771,2.7174,2.1735,1.8904,2.7172,2.1266,0.8398,2.5029,0.933,2.4811,1.3402,1.365,3.5332,2.1141,1.7446,3.6034,1.1087,3.3158,2.4059,1.4954,1.4848,0.7002,1.6064,3.1899,1.5495,1.6175,1.771,1.0036,3.2518,5.0467,2.6827,2.4952,1.414,1.3314,1.8471,1.5316,2.4887,1.8513,2.3157,1.5241,0.5899,2.2002,1.7085,1.1848,2.3265,1.4341,2.2065,2.2895,3.3229,1.5703,1.2098,1.0785,2.0093,1.2415,1.5746,1.3143,0.431,3.273,1.1606,0.5671,2.864,2.6498,2.4225,0.7107,2.1591,1.225,2.4725,2.9613,2.6501,0.3486,1.3264,2.471,1.7548,2.3087,0.7825,0.521,3.414,0.7909,2.2277,4.085,2.6542,1.2681,1.7279,1.392,3.07,2.8113,1.2625,0.8955,1.669,1.9193,4.1418,2.4352,2.7408,2.1451,3.76,0.7914,2.9172,1.8029,3.6305,2.7192,1.8367,1.5025
"EDEM3",34.1918,47.3425,33.8014,33.6772,26.283,25.8683,62.3597,29.3179,34.5949,20.6553,46.8623,16.7213,18.0607,15.7714,14.6071,11.5533,2.2858,38.203,30.4644,6.6933,5.7044,2.3834,11.3401,10.5942,17.9424,25.1547,33.3406,9.4806,45.7247,12.4666,40.1498,18.9857,37.4378,39.0192,29.0933,20.9404,30.2911,35.5903,56.4363,10.7399,12.8639,31.1129,32.7413,21.2097,19.9674,21.1921,24.5202,32.1812,19.9217,17.5419,23.5272,96.2317,58.0005,23.3585,23.2316,38.3058,13.1478,10.4776,42.8,8.0648,15.4818,15.0262,11.5158,22.1321,11.8958,18.0811,16.8218,9.3384,24.5517,14.2714,13.4469,16.1933,23.528,29.8137,17.0794,31.392,38.763,40.1292,65.0888,13.2833,175.937,24.7393,24.6434,33.201,19.7611,13.9665,30.9388,29.0379,25.2142,19.1817,18.6483,42.0153,4.3797,32.255,27.8757,27.5389,4.3246,28.3288,33.4392,63.4735,15.8309,33.081,77.6083,11.3069,10.7415,4.6507,5.5937,19.7656,27.0726,15.5055,15.8758,18.758,18.3333,27.8776,56.7202,39.0471,21.6055,24.9053,33.4649,9.3132,39.194,18.9075,25.6968,23.129,29.5177,29.9399,37.0379,23.9749,18.0388,22.0879,12.3852,27.0354,7.331,14.2269,17.8884,55.1744,20.9887,13.1211,20.2418,41.737,32.3412,19.2818,85.7973,19.6374,14.5052,14.0921,6.5408,31.6848,14.2914,10.9608,46.3977,14.8831,19.7002,25.4953,20.0327,32.7481,33.3532,38.4522,29.6539,29.4045,19.8581,53.4592,39.4735,17.0639,28.289
"WDR77",42.4804,21.9609,72.9443,75.9855,87.2275,48.456,45.5862,57.5708,29.9979,52.5022,69.8484,45.4127,69.1781,80.5895,139.7011,65.0587,219.1901,42.6157,63.929,60.1094,50.1724,69.9695,45.8514,58.5742,81.4497,34.6649,61.4503,56.8886,64.5561,52.6929,92.6008,27.7419,45.5999,24.734,49.1721,57.4472,107.0667,55.7744,28.7139,43.3137,42.6416,47.5176,66.5947,54.9342,42.7466,55.5378,26.2756,47.1002,44.2695,38.7779,59.7883,60.5941,60.8069,70.0142,50.1144,27.5196,111.8705,84.2269,53.8479,24.3163,128.8876,93.9678,59.835,52.8486,71.1366,56.8341,75.814,51.8592,44.8023,44.9571,53.9586,41.9886,59.7947,29.2188,71.632,90.411,55.6466,47.0073,34.098,38.5089,62.3308,47.4278,35.3961,30.8742,19.0776,93.5645,91.3981,65.4865,46.7576,39.2562,82.3663,47.2557,129.8563,91.1474,120.4424,63.7327,65.8505,43.459,59.3863,78.9352,54.0788,38.5568,40.8714,46.7998,75.0293,53.7046,74.7752,60.0435,60.8001,76.5251,49.4552,79.5519,27.5579,63.9526,28.8663,46.8325,67.4207,47.5966,97.3806,58.209,91.0892,22.2859,52.8172,70.9159,104.3649,51.4887,62.86,36.9682,17.3131,59.2352,70.9237,42.2547,40.616,57.3867,58.2931,25.481,68.8099,19.3832,25.2508,32.3785,30.502,101.8626,53.3546,68.6042,78.7359,37.3507,72.2667,62.3474,94.1637,51.6234,36.3568,86.2421,67.1687,60.1793,403.0935,50.3393,60.5259,53.2052,29.3213,67.2037,54.721,42.5706,82.2231,46.0022,30.6129
"ATP5PB",173.4158,147.0273,282.0371,162.9978,231.5852,188.3114,143.0374,168.9513,87.5213,209.3754,237.9371,210.3373,238.0749,172.2203,229.1812,186.1816,70.3121,134.1308,194.1041,86.5976,65.8107,122.1671,117.3278,328.0605,169.1018,152.3747,210.73,115.4454,141.4536,165.7652,159.8114,255.5596,145.1646,146.4616,276.8076,417.0805,174.1359,197.8461,139.6902,196.7544,369.1704,175.0523,143.1202,120.1118,80.6195,153.0079,115.8537,127.9243,227.5881,91.4311,151.387,106.8136,314.9652,205.624,155.2577,74.8506,315.995,228.8356,184.6375,43.1205,244.9786,244.4017,152.2706,171.1567,117.8559,163.5073,103.8414,117.6595,86.1575,158.2293,113.2701,122.3345,263.2327,131.9369,196.64,191.7251,236.5414,157.7642,167.8783,127.3386,194.265,160.3643,151.0705,137.245,81.0462,235.5568,239.9937,248.4552,220.5928,125.8439,255.401,174.2696,98.9904,192.3846,169.4334,182.8199,67.2122,71.4966,232.5813,242.709,238.9865,189.2527,173.3478,157.6676,180.6863,76.3618,127.7427,145.266,198.1291,110.5375,165.3122,140.5056,71.9359,261.1165,78.5121,146.511,349.436,307.6755,203.3832,77.3189,202.7971,88.1386,180.0041,238.358,201.4086,203.2991,172.54,128.4246,101.1108,235.8345,146.9082,260.8284,575.0281,135.5758,112.0737,124.3409,176.2145,61.6419,92.1753,125.5321,99.9275,231.2975,151.3639,169.7035,378.3707,101.5587,229.5093,173.0141,183.4106,145.308,140.6402,135.7681,126.1566,128.7711,532.8756,189.8774,109.6382,121.9008,163.0835,253.658,159.7198,161.3853,227.8402,127.9858,128.0272
"RAP1A",31.2865,48.4219,50.1275,41.3097,46.1164,35.3861,55.3067,35.3104,20.6227,30.8316,41.421,25.0376,27.8088,24.1295,25.7774,28.5965,7.6327,63.0932,42.0707,10.6089,8.931,10.0361,19.4426,24.0557,22.731,27.7446,26.055,17.319,22.9428,17.1658,30.3245,34.6832,28.5926,43.4539,35.0648,49.5172,43.591,61.5525,35.5686,20.1034,68.9531,51.2943,22.6209,28.7882,19.3628,29.5741,49.5809,22.0751,41.0035,24.6198,36.9792,33.548,59.6145,36.6518,25.9984,15.9949,24.6009,23.4068,33.2959,6.0486,22.5057,22.9765,25.4815,29.8296,24.4282,34.8703,18.0549,18.4427,14.0122,22.7316,18.5767,28.8655,57.0517,29.7783,33.7125,37.8103,56.7988,36.2385,36.484,36.848,58.1211,42.1521,41.7879,42.1702,34.3407,41.7351,35.7862,36.7697,40.6985,33.2539,24.1271,37.6569,5.8344,25.7679,25.6388,39.8307,11.779,22.1499,48.6827,55.2715,40.1005,39.578,44.0916,21.3138,26.2714,12.2551,9.647,28.4915,43.4636,20.6,19.4426,22.9509,15.2539,51.8844,20.648,37.9799,47.3373,57.1941,50.4175,21.206,49.3929,24.7471,39.9341,41.1101,49.225,55.088,48.9529,55.4757,41.8372,39.9689,24.7199,26.153,25.2674,23.0639,19.8766,29.6069,49.3394,22.3156,20.7876,63.4362,24.234,28.2432,40.4163,29.915,23.8224,16.4077,22.973,41.9803,25.8556,21.4654,39.7712,16.6544,18.7738,17.8732,104.5373,40.3636,30.858,27.2392,31.331,36.2091,38.071,75.0708,48.8386,34.0873,50.4795
"HDAC1",189.8683,198.1949,381.2287,167.369,309.9845,199.4276,346.1392,273.646,67.6113,192.9588,145.8387,220.9722,197.0926,206.9854,330.1051,261.8617,209.2519,200.9353,288.649,121.1193,83.0638,98.7812,105.3495,167.9865,182.8739,167.0392,136.6668,161.6606,173.2872,216.5281,293.1191,312.5677,162.5436,168.5697,231.3271,232.7037,201.6253,274.24,201.755,230.7143,147.204,197.4515,177.4022,111.6379,138.1261,185.4594,197.364,161.3915,122.5227,103.8734,254.4265,173.3473,287.3297,233.8328,122.4037,251.691,209.7475,213.5343,177.8201,157.626,200.1953,176.3295,132.0543,203.5116,172.73,175.1439,151.3683,155.9353,107.6051,129.2629,149.8898,190.9664,313.5781,130.5313,210.5216,152.6128,292.06,211.454,261.2087,173.1106,250.6654,199.7561,184.3544,138.9588,197.4195,281.3066,290.3219,119.2922,227.4389,275.9944,186.4899,260.6112,197.494,321.4023,213.5103,224.7938,98.9895,220.8192,342.0169,303.0649,224.4326,319.6251,231.4631,206.2744,184.5107,119.1256,162.1672,180.0359,108.9389,169.7315,201.1429,240.282,107.0794,204.8723,115.5935,186.6441,224.6275,254.1817,184.1851,136.3013,360.1719,113.5431,311.147,342.625,298.4845,138.7579,191.6821,172.33,97.3492,299.3906,219.0585,347.6617,151.1619,158.6388,109.4231,165.9385,263.1115,135.4763,177.0704,130.5587,86.2234,121.8464,222.7894,216.45,220.285,119.9083,210.7305,337.6931,223.5164,147.202,252.9093,203.1596,175.487,86.207,128.4818,258.2937,232.4204,156.8819,177.8637,369.1935,261.6949,134.5791,263.5955,219.4438,161.1801
"CAPZA1",165.3566,153.804,271.3181,200.5521,213.6887,141.808,158.5923,157.188,89.1242,186.3095,219.7031,126.252,203.1365,169.9363,179.622,216.7703,39.8901,150.6325,228.4983,50.1296,43.5337,55.9348,105.8641,199.7063,168.2318,151.7967,160.147,87.9159,163.416,112.2389,162.3053,157.27,134.3204,160.0637,207.2491,211.0532,226.6793,285.1753,226.2672,147.0822,335.6653,224.2391,151.5347,158.0075,82.557,171.1891,154.9584,158.1009,212.8838,121.6209,183.083,155.6776,389.131,180.8112,149.9267,102.3677,203.5411,156.5928,175.8907,30.2628,175.163,190.3973,185.6078,192.0306,135.2409,157.0067,116.1117,114.1967,88.3239,82.4705,84.6746,134.6666,244.1949,129.9901,93.7022,154.3571,319.6478,168.8645,220.8917,128.6325,351.6738,172.0303,197.6573,170.6413,103.7525,191.602,172.4079,200.5151,191.5792,151.0741,196.4711,225.1085,36.8221,202.3333,165.2362,187.5179,18.7894,133.9303,310.9908,228.515,184.4738,148.8022,205.9047,184.9523,136.3884,50.244,65.6939,155.6558,198.2254,121.6829,126.15,139.1243,79.705,212.0543,107.4626,152.4997,247.4618,231.6866,253.5187,93.6727,256.5748,99.3856,205.1948,200.7642,186.571,200.9961,187.4436,183.8206,110.601,223.3695,131.2643,176.3367,290.6486,145.586,98.4055,167.3018,204.5295,107.0342,99.7298,171.9116,114.039,206.4522,164.9895,169.2679,205.6529,92.4125,127.9055,193.5885,175.4051,137.6909,234.8339,128.9368,118.229,93.2833,506.6161,180.0412,94.9137,110.2025,169.3282,204.6781,157.5916,304.3993,186.5981,164.8213,198.1558
