"SYMBOL","ENTREZID","Description"
"CIB2",10518,"calcium and integrin binding family member 2"
"CIB1",10519,"calcium and integrin binding 1 (calmyrin)"
"CEBPB",1051,"CCAAT/enhancer binding protein (C/EBP), beta"
"DDX17",10521,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 17"
"DEAF1",10522,"deformed epidermal autoregulatory factor 1 (Drosophila)"
"CHERP",10523,"calcium homeostasis endoplasmic reticulum protein"
"KAT5",10524,"HIV-1 Tat interacting protein, 60kDa"
"HYOU1",10525,"hypoxia up-regulated 1"
"IPO8",10526,"importin 8"
"NOP56",10528,"nucleolar protein 5A (56kDa with KKE/D repeat)"
"NEBL",10529,"nebulette"
"CEBPD",1052,"CCAAT/enhancer binding protein (C/EBP), delta"
"PITRM1",10531,"pitrilysin metallopeptidase 1"
"ATG7",10533,"ATG7 autophagy related 7 homolog (S. cerevisiae)"
"ZNRD2",10534,"Sjogren's syndrome/scleroderma autoantigen 1"
"RNASEH2A",10535,"ribonuclease H2, subunit A"
"P3H3",10536,"leprecan-like 2"
"UBD",10537,"ubiquitin D"
"BATF",10538,"basic leucine zipper transcription factor, ATF-like"
"GLRX3",10539,"glutaredoxin 3"
"CEBPE",1053,"CCAAT/enhancer binding protein (C/EBP), epsilon"
"DCTN2",10540,"dynactin 2 (p50)"
"ANP32B",10541,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B"
"LAMTOR5",10542,"hepatitis B virus x interacting protein"
"PROCR",10544,"protein C receptor, endothelial (EPCR)"
"TM9SF1",10548,"transmembrane 9 superfamily member 1"
"PRDX4",10549,"peroxiredoxin 4"
"CEBPG",1054,"CCAAT/enhancer binding protein (C/EBP), gamma"
"ARL6IP5",10550,"ADP-ribosylation-like factor 6 interacting protein 5"
"AGR2",10551,"anterior gradient homolog 2 (Xenopus laevis)"
"ARPC1A",10552,"actin related protein 2/3 complex, subunit 1A, 41kDa"
"HTATIP2",10553,"HIV-1 Tat interactive protein 2, 30kDa"
"AGPAT1",10554,"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)"
"AGPAT2",10555,"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)"
"RPP30",10556,"ribonuclease P/MRP 30kDa subunit"
"RPP38",10557,"ribonuclease P/MRP 38kDa subunit"
"SPTLC1",10558,"serine palmitoyltransferase, long chain base subunit 1"
"SLC35A1",10559,"solute carrier family 35 (CMP-sialic acid transporter), member A1"
"SLC19A2",10560,"solute carrier family 19 (thiamine transporter), member 2"
"IFI44",10561,"interferon-induced protein 44"
"OLFM4",10562,"olfactomedin 4"
"CXCL13",10563,"chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)"
