""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"USP12",6.67813077,6.751677858,6.628164384,6.611642335,6.575890601,6.748634582,6.375870533,6.279245812,6.780190183,6.47567448,6.755265965,6.488445276,6.309546474,6.546173228,6.67846876
"FARSA",8.154347336,8.191137194,8.042536543,8.45314653,8.11894975,8.085391808,8.168489646,8.161282792,8.251316052,8.033744918,7.914982717,8.216263201,7.954061635,8.109669197,8.046835066
"FASN",5.200064601,5.118692406,5.114340933,5.270588037,5.061166283,5.02719996,5.214262009,4.934172651,5.129549682,5.113520384,5.166711488,5.104900289,4.888766098,4.906682669,4.988424566
"FAT1",4.060560753,4.054622989,4.064128508,4.085262075,4.084564253,4.030566082,4.030673153,3.921684914,4.062382928,4.015469095,4.057336758,4.240233267,4.000437787,3.97010507,3.984799753
"FAT2",4.567552865,4.387852586,4.420002502,4.500770785,4.684973225,4.524234389,4.315981998,4.304026694,4.430564168,4.589205844,4.48647991,4.404673921,4.438870367,4.368001564,4.556959324
"FAU",11.88286326,12.12809598,12.50670767,12.48427533,12.35640284,12.76707706,12.68081824,13.12089234,13.17889371,12.45556073,13.30259933,13.09761474,13.01902296,13.28354424,13.17758967
"FBLN2",5.011768807,4.869112889,5.149150147,5.242417751,4.910440213,5.106406723,5.096512769,5.162556825,5.182535844,4.962659388,5.061395382,5.185701804,4.893631294,4.845327582,5.074383461
"ALDH1B1",5.273963532,5.211287143,5.103200025,5.175101613,5.321589561,5.213075386,5.267652983,5.243535472,5.350362297,5.32312245,5.157308333,5.540036137,5.183327233,5.113762361,5.281378717
"ABCA3",6.316380257,6.340030421,5.91999471,6.434516653,6.439115436,6.04161353,6.472393194,6.226299848,6.424965089,6.289375304,6.178131475,6.153436754,5.808814662,5.962442607,6.189915206
"FBN1",4.277933153,4.193544395,4.273435954,4.175709795,4.170215059,4.172930865,4.169317444,4.042449562,4.191902008,4.090914988,4.212167354,4.140231061,4.158941617,4.20844351,4.069444375
"SKA1",3.633100314,3.861688092,3.964310974,3.862512999,3.751573045,3.738054419,3.864869503,3.698909158,3.714366239,3.502136881,3.668766617,3.996234519,3.860934863,3.705844541,3.633728039
"FBN2",4.816371619,4.875629914,5.2349905,4.921696497,4.743072871,5.337114292,5.274838684,5.653223111,5.007662143,5.120145461,5.673346934,4.74927477,5.331008264,5.809123249,4.886616968
"EFEMP1",3.743536411,3.840468572,3.710086746,3.632631026,3.892861227,3.667372293,3.803248449,3.819147744,3.696269127,3.693916657,3.900267523,3.70184203,3.671766306,3.740185136,3.72748819
"FBP1",8.291065584,8.646488778,8.026755671,8.425623734,8.201686909,8.237958104,8.25625695,8.393212289,7.954819289,8.351716199,8.292540599,8.057625237,8.103733405,8.325687222,7.943761065
"FCAR",7.437305224,7.29603685,7.428834265,6.196365769,6.85338964,7.326655186,6.717574414,6.510518621,5.747100889,7.097621818,6.499792535,5.834628695,6.864484224,6.733137573,5.437431358
"FCER1A",6.455502041,7.459225433,8.474957095,7.946523969,7.921166476,8.581742938,7.718565948,9.454726535,9.266565374,7.746245409,9.378146389,9.203224971,8.795235932,9.91730033,9.828190957
"MS4A2",4.313297237,4.355778247,4.322401663,4.391485826,4.613207975,4.265341255,4.274938401,4.181712568,4.260486106,4.15470233,4.266309479,4.20416753,4.290144675,4.297941546,4.265989762
"FCER1G",12.29044457,12.48750707,12.57246411,12.22104949,12.26971189,12.4069062,12.11603608,12.38484431,11.66338232,12.24237572,12.32931755,12.04111662,12.30550777,12.33330631,12.04103045
"FCER2",6.775154222,6.882276903,6.371738884,7.220531454,6.726792945,6.761908909,6.766597867,6.747253764,6.945730167,6.617208142,6.547388954,6.992617649,6.557329801,6.625294713,6.96306474
"ALDH1A3",3.705835299,3.749854922,3.569527017,3.723325496,3.797188941,3.696880394,3.674256828,3.483140559,3.691493991,3.562942246,3.619878538,3.650388489,3.761037437,3.601867481,3.586526878
"JMJD1C",9.109740779,9.651155642,9.769697532,9.090457792,9.578132771,9.753738349,9.716127918,10.0804605,9.09343703,9.872899581,10.0607765,9.059732646,9.974329832,10.14098097,9.2999673
"HNRNPUL2",6.729126899,6.534072423,6.266124763,6.53852734,6.709356297,6.311539207,6.356014626,6.228218356,6.288181092,6.634125188,5.815012765,6.640829387,6.230169265,6.064270908,6.296584115
"MICU2",8.015180426,8.298319432,8.723997943,8.562396091,9.036715503,8.822273826,9.221246326,9.345371046,9.264027287,8.964862664,9.103602018,8.968182039,9.421198322,9.571020523,9.374923134
"ADGRF5",4.414768404,4.219512918,4.184382168,4.186519952,3.98361577,4.18758033,3.897575231,4.027942247,3.870485051,3.989855308,4.153043312,4.073204026,3.942821545,3.940896794,4.006243447
"FCGR2B",8.714519029,8.603669721,8.91968633,8.324466876,8.953102114,8.88779886,8.750081764,8.854294976,8.329823114,8.458352422,8.653563085,8.421518196,8.943565832,8.772532405,8.416067162
"OARD1",7.824612393,8.054152363,8.047134204,7.92940827,7.935868097,8.16548986,8.139049558,8.357396822,8.611268008,8.091862065,8.493121319,8.442601839,8.22724091,8.348034116,8.37280894
"FCGR3B",13.28218695,13.15969527,13.69734051,12.27111273,13.05693265,13.1859285,13.31480486,12.96633091,10.61995773,13.18505926,12.95008658,11.58067236,12.60357372,12.53030459,11.72458309
"PHACTR1",6.125126002,6.076281952,6.246475584,6.178815358,5.879786417,6.087783308,6.157049426,5.843124467,6.084262283,5.833021501,5.825501905,6.059110643,5.961002455,5.765875849,5.875335771
"PXDC1",6.608787764,6.276507488,6.313413039,6.257558555,6.35676575,6.300635186,6.17108321,6.371916148,6.311772449,6.362112209,6.663666721,6.302503576,6.335356678,6.474087544,6.575101021
"FCGRT",10.92085064,11.0032285,10.93696868,10.60537521,10.85559029,10.86719301,10.8311306,10.68745495,10.00847475,10.85038293,10.53439974,10.17948847,10.70291939,10.65443793,9.981085716
"PRPS1L1",4.009568087,4.041837871,4.147861687,3.956402579,3.815533064,3.951996075,4.079034264,3.74251349,3.752235843,3.913634258,3.91872271,3.86104082,3.757536661,3.768593005,3.905489557
"POLR1F",3.705003853,3.751009945,3.6321362,3.646044406,3.65664494,3.866946903,3.756101133,3.713594481,3.622674199,3.421213277,3.824213822,3.597934897,3.696672498,3.807654475,3.530591909
"FKTN",6.217751122,6.465730845,6.263940559,6.326184811,6.561035572,6.435701557,6.86342605,6.61012165,6.621002265,6.753306874,6.323954381,6.478608331,6.64048222,6.281227725,6.249804851
"THSD7A",4.031922496,4.020504182,3.905800251,3.837849312,3.950259574,3.759889538,3.907888819,3.851879156,3.792886843,3.956890784,3.917792242,3.7653457,3.879410188,3.950296869,3.877681392
"FCN1",12.62300909,12.77819651,12.85846764,13.0546125,12.60359233,12.86217567,12.83256699,13.03441799,12.55880369,12.72044028,12.96232896,12.628098,12.77402702,12.95900621,12.48041416
"ALDH3B1",8.265078305,8.221675125,7.957219595,8.023253219,8.454681318,8.114287954,8.394413506,8.013216493,7.579001583,8.393893755,7.959529706,7.641818642,8.130621129,7.749375231,7.941887136
"FCN2",3.872686938,3.824798572,3.977204111,3.913234173,3.857106727,4.046364521,3.795999427,4.099150821,3.845073908,3.880396704,3.955977765,3.750683235,3.742293315,3.876475049,3.729277198
