""," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"SEMA6B",5.868466442,5.703803591,5.694552588,6.397928302,5.875276542,5.793372731,5.665830551,6.820198367,5.827251801,6.198583311,6.01467073,5.718465492,6.101661183,5.915149968
"SEMA4F",6.745717659,6.793783171,7.129301833,7.087967553,6.936919933,6.939650645,6.846436912,7.354550713,6.633826133,6.795507277,6.760997718,7.04476982,7.01848186,6.891085706
"SEMA4D",11.22781583,11.11467513,11.22832786,10.84761801,11.20733097,11.11918646,11.18431295,10.52599203,11.17893372,10.88170338,10.68686633,11.06840768,10.85362992,11.04836054
"CEBPA",9.478121483,9.335524058,9.555943521,9.346673414,9.547329529,9.622689562,9.369271208,9.207123814,9.47995153,9.676455136,9.769180087,10.11267687,9.990572789,9.887733793
"SEMA3C",4.381352098,4.403987721,4.265467172,4.001931367,4.201546957,4.257214458,4.17512412,3.990581174,4.421738329,4.511590752,4.064510911,4.296456976,4.053312361,4.412663343
"APPBP2",7.495711203,7.595099214,7.690301591,6.792871381,7.324193248,7.386569663,7.638298678,6.561231112,7.430019791,7.658231243,7.286450416,7.58478611,7.264280233,7.411852462
"MYBBP1A",7.718854245,7.89497899,7.914233461,8.008582782,7.919141219,7.83063028,7.776759043,7.85962211,7.705834021,7.292561542,7.26826083,7.919474716,7.55952674,7.760815346
"FBLN5",8.441865331,8.269855791,8.395881842,7.87753641,8.345688491,8.325688535,7.880475107,6.856781646,7.438540751,7.583370966,7.458671162,7.868921364,8.21916166,7.866507934
"CIB2",6.270603425,6.390751471,6.342944919,6.731102977,6.36813507,6.541770719,6.287575355,6.671791145,6.416880112,6.644060743,6.604403011,6.566673544,6.741107732,6.755214974
"CIB1",10.87471052,10.84008504,10.91786593,10.47839266,10.84816798,10.87018718,10.70331117,10.05559657,10.46965012,10.35710334,10.49203453,10.93403681,10.79961297,10.7633041
